Cliente,Contrato,Tipo de Crédito,Montante a Recuperar
Cliente0040,Contrato2047,Crédito Cartões,"7,653.58"
Cliente0041,Contrato1678,Crédito Habitação,"9,945.42"
Cliente0042,Contrato2052,Crédito Cartões,"1,043.28"
Cliente0043,Contrato1546,Outro Crédito,"22,445.91"
Cliente0044,Contrato2996,Crédito Individual,"3,880.23"
Cliente0045,Contrato1599,Outro Crédito,"15,173.87"
Cliente0045,Contrato1599,Outro Crédito,164.59
Cliente0045,Contrato1599,Outro Crédito,778.12
Cliente0046,Contrato2050,Crédito Cartões,"1,106.65"
Cliente0047,Contrato1402,Outro Crédito,118.63
Cliente0047,Contrato2850,Crédito Individual,"40,394.54"
Cliente0048,Contrato1330,Outro Crédito,275.11
Cliente0048,Contrato2854,Crédito Individual,"22,903.70"
Cliente0049,Contrato1341,Outro Crédito,10.48
Cliente0050,Contrato1658,Crédito Individual,"3,342.39"
Cliente0051,Contrato1654,Crédito Individual,"16,140.02"
Cliente0052,Contrato1348,Outro Crédito,564.12
Cliente0052,Contrato1351,Outro Crédito,"7,275.02"
Cliente0052,Contrato2072,Crédito Cartões,"11,085.52"
Cliente0053,Contrato1340,Outro Crédito,242.77
Cliente0054,Contrato0435,Outro Crédito,"69,309.03"
Cliente0055,Contrato1441,Crédito Individual,"2,439.46"
Cliente0056,Contrato0549,Outro Crédito,27.51
Cliente0056,Contrato2601,Crédito Individual,"4,492.10"
Cliente0057,Contrato0025,Outro Crédito,108.89
Cliente0058,Contrato1060,Outro Crédito,40.67
Cliente0059,Contrato0958,Outro Crédito,445.10
Cliente0060,Contrato0284,Outro Crédito,299.28
Cliente0061,Contrato1344,Outro Crédito,44.57
Cliente0062,Contrato0005,Outro Crédito,191.16
Cliente0062,Contrato2840,Outro Crédito,"54,381.81"
Cliente0063,Contrato1911,Crédito Individual,"9,138.46"
Cliente0064,Contrato0716,Outro Crédito,"2,958.20"
Cliente0064,Contrato0717,Outro Crédito,"26,290.66"
Cliente0064,Contrato1346,Outro Crédito,49.17
Cliente0064,Contrato2032,Outro Crédito,"12,727.58"
Cliente0064,Contrato2285,Crédito Cartões,"1,454.30"
Cliente0064,Contrato2785,Crédito Individual,"6,303.31"
Cliente0064,Contrato2808,Crédito Habitação,"9,918.94"
Cliente0064,Contrato2923,Crédito Individual,"52,909.08"
Cliente0064,Contrato2924,Crédito Individual,"3,761.73"
Cliente0065,Contrato1398,Outro Crédito,"8,586.42"
Cliente0065,Contrato1668,Crédito Individual,"15,432.72"
Cliente0066,Contrato1452,Crédito Habitação,"19,205.66"
Cliente0067,Contrato1413,Outro Crédito,118.94
Cliente0068,Contrato1664,Outro Crédito,"16,094.34"
Cliente0068,Contrato1943,Outro Crédito,"6,717.64"
Cliente0068,Contrato1967,Outro Crédito,"13,053.27"
Cliente0069,Contrato1337,Outro Crédito,"1,369.99"
Cliente0069,Contrato2603,Crédito Individual,"9,283.28"
Cliente0069,Contrato2640,Crédito Individual,"12,095.17"
Cliente0070,Contrato1415,Outro Crédito,19.04
Cliente0070,Contrato2979,Crédito Individual,"2,070.67"
Cliente0071,Contrato1659,Outro Crédito,366.38
Cliente0071,Contrato1661,Crédito Individual,"34,697.33"
Cliente0071,Contrato1790,Outro Crédito,"124,852.98"
Cliente0071,Contrato2046,Crédito Cartões,"6,565.80"
Cliente0072,Contrato1807,Outro Crédito,"2,768.33"
Cliente0073,Contrato1957,Crédito Habitação,825.49
Cliente0074,Contrato1406,Outro Crédito,6.03
Cliente0075,Contrato1902,Crédito Individual,"14,844.68"
Cliente0076,Contrato0863,Outro Crédito,46.51
Cliente0076,Contrato2404,Crédito Cartões,497.68
Cliente0077,Contrato2057,Crédito Cartões,"1,821.02"
Cliente0078,Contrato2607,Crédito Individual,"20,670.47"
Cliente0079,Contrato0859,Outro Crédito,38.85
Cliente0080,Contrato1385,Outro Crédito,"1,893.77"
Cliente0080,Contrato1912,Crédito Habitação,"26,057.36"
Cliente0080,Contrato2657,Crédito Individual,"32,389.90"
Cliente0080,Contrato2809,Crédito Individual,"3,445.12"
Cliente0080,Contrato2828,Crédito Individual,"55,377.61"
Cliente0081,Contrato1349,Outro Crédito,653.17
Cliente0081,Contrato2628,Crédito Habitação,"62,912.68"
Cliente0081,Contrato3018,Crédito Individual,"11,290.75"
Cliente0082,Contrato1332,Outro Crédito,45.48
Cliente0082,Contrato2054,Crédito Cartões,"1,883.64"
Cliente0082,Contrato2273,Crédito Cartões,"2,788.02"
Cliente0083,Contrato2083,Crédito Cartões,"2,994.15"
Cliente0084,Contrato1913,Crédito Individual,"7,863.92"
Cliente0085,Contrato2152,Crédito Cartões,"4,290.99"
Cliente0086,Contrato1333,Outro Crédito,"1,579.04"
Cliente0087,Contrato1339,Outro Crédito,"9,022.86"
Cliente0088,Contrato1676,Outro Crédito,"6,306.99"
Cliente0089,Contrato2954,Crédito Individual,"4,778.89"
Cliente0089,Contrato2969,Crédito Individual,"12,809.50"
Cliente0090,Contrato2363,Crédito Cartões,941.48
Cliente0091,Contrato1393,Outro Crédito,39.35
Cliente0091,Contrato1895,Crédito Habitação,"15,937.92"
Cliente0091,Contrato1896,Crédito Habitação,"45,071.52"
Cliente0091,Contrato1983,Crédito Habitação,"47,855.14"
Cliente0091,Contrato2916,Outro Crédito,"45,753.71"
Cliente0092,Contrato1146,Outro Crédito,"3,093.29"
Cliente0093,Contrato0230,Outro Crédito,"7,083.09"
Cliente0093,Contrato1865,Crédito Individual,"8,978.27"
Cliente0094,Contrato0318,Outro Crédito,4.67
Cliente0094,Contrato2573,Crédito Individual,"3,831.42"
Cliente0095,Contrato0830,Outro Crédito,118.12
Cliente0096,Contrato0409,Outro Crédito,928.17
Cliente0097,Contrato1357,Outro Crédito,490.55
Cliente0097,Contrato2984,Outro Crédito,"39,425.20"
Cliente0098,Contrato0129,Outro Crédito,18.44
Cliente0099,Contrato1447,Crédito Habitação,"26,035.85"
Cliente0100,Contrato2019,Outro Crédito,"4,285.70"
Cliente0101,Contrato0953,Outro Crédito,40.76
Cliente0102,Contrato2361,Crédito Cartões,"1,213.25"
Cliente0103,Contrato0670,Outro Crédito,"5,679.87"
Cliente0103,Contrato2824,Crédito Habitação,"71,380.08"
Cliente0104,Contrato1450,Crédito Individual,"6,078.25"
Cliente0104,Contrato2058,Crédito Cartões,828.46
Cliente0105,Contrato0713,Outro Crédito,"2,516.68"
Cliente0105,Contrato2306,Crédito Cartões,679.35
Cliente0105,Contrato2861,Crédito Individual,"9,346.07"
Cliente0106,Contrato0651,Outro Crédito,2.59
Cliente0107,Contrato2951,Crédito Individual,"1,573.44"
Cliente0108,Contrato0110,Outro Crédito,192.04
Cliente0108,Contrato1481,Outro Crédito,368.77
Cliente0109,Contrato1874,Crédito Individual,"5,238.93"
Cliente0110,Contrato1342,Outro Crédito,19.05
Cliente0110,Contrato2586,Crédito Individual,"14,774.28"
Cliente0111,Contrato1436,Crédito Individual,"7,552.75"
Cliente0112,Contrato2830,Crédito Individual,"3,190.11"
Cliente0113,Contrato0216,Outro Crédito,"2,045.34"
Cliente0113,Contrato2146,Crédito Cartões,"1,505.97"
Cliente0114,Contrato2086,Crédito Cartões,"2,577.24"
Cliente0114,Contrato2742,Crédito Habitação,"166,802.55"
Cliente0114,Contrato2743,Crédito Habitação,"6,910.06"
Cliente0114,Contrato2860,Crédito Individual,"31,792.19"
Cliente0115,Contrato0686,Outro Crédito,"2,525.41"
Cliente0115,Contrato2257,Crédito Cartões,713.04
Cliente0116,Contrato0745,Outro Crédito,10.38
Cliente0117,Contrato1324,Outro Crédito,0.02
Cliente0118,Contrato2070,Crédito Cartões,"2,740.35"
Cliente0119,Contrato2892,Crédito Individual,"2,569.03"
Cliente0120,Contrato1433,Crédito Individual,"4,978.10"
Cliente0121,Contrato2289,Crédito Cartões,"1,372.77"
Cliente0122,Contrato1652,Crédito Individual,471.78
Cliente0122,Contrato1665,Crédito Individual,"8,291.37"
Cliente0123,Contrato0773,Outro Crédito,63.56
Cliente0123,Contrato2317,Crédito Cartões,"1,069.69"
Cliente0124,Contrato0431,Outro Crédito,"1,225.92"
Cliente0124,Contrato0552,Outro Crédito,"3,175.03"
Cliente0124,Contrato1970,Crédito Habitação,"133,053.08"
Cliente0124,Contrato1988,Outro Crédito,"13,296.53"
Cliente0124,Contrato2189,Crédito Cartões,"10,011.45"
Cliente0124,Contrato2192,Crédito Cartões,"1,296.61"
Cliente0125,Contrato0338,Outro Crédito,"3,972.00"
Cliente0125,Contrato2129,Crédito Cartões,"1,399.11"
Cliente0126,Contrato1397,Outro Crédito,"2,509.21"
Cliente0127,Contrato3044,Crédito Individual,"7,753.53"
Cliente0128,Contrato1345,Outro Crédito,52.94
Cliente0128,Contrato2584,Crédito Individual,"8,005.60"
Cliente0129,Contrato2334,Crédito Cartões,443.32
Cliente0130,Contrato1350,Outro Crédito,217.21
Cliente0131,Contrato1320,Outro Crédito,"35,630.54"
Cliente0131,Contrato1431,Outro Crédito,"60,816.00"
Cliente0131,Contrato1762,Outro Crédito,"199,463.98"
Cliente0132,Contrato3004,Outro Crédito,"73,052.52"
Cliente0133,Contrato2610,Outro Crédito,"157,355.90"
Cliente0134,Contrato1756,Outro Crédito,"13,007.20"
Cliente0134,Contrato1845,Outro Crédito,"1,584,880.93"
Cliente0135,Contrato1502,Outro Crédito,"49,851.59"
Cliente0135,Contrato1742,Outro Crédito,729.29
Cliente0135,Contrato1743,Outro Crédito,"1,031.27"
Cliente0135,Contrato1744,Outro Crédito,"1,031.27"
Cliente0135,Contrato1753,Outro Crédito,"189,622.24"
Cliente0135,Contrato1864,Outro Crédito,121.75
Cliente0136,Contrato3011,Outro Crédito,"32,259.90"
Cliente0137,Contrato1690,Outro Crédito,"133,923.87"
Cliente0137,Contrato1749,Outro Crédito,"518,783.60"
Cliente0138,Contrato3005,Outro Crédito,"169,513.68"
Cliente0138,Contrato3006,Outro Crédito,"190,325.20"
Cliente0139,Contrato1322,Outro Crédito,"84,760.61"
Cliente0139,Contrato2656,Outro Crédito,"300,446.80"
Cliente0140,Contrato1329,Outro Crédito,3.80
Cliente0141,Contrato0053,Outro Crédito,100.00
Cliente0141,Contrato1763,Outro Crédito,"1,863,758.01"
Cliente0142,Contrato1319,Outro Crédito,"6,427.95"
Cliente0142,Contrato2040,Outro Crédito,"11,263.66"
Cliente0142,Contrato2999,Outro Crédito,"178,493.96"
Cliente0143,Contrato1323,Outro Crédito,"26,494.11"
Cliente0144,Contrato0080,Outro Crédito,427.89
Cliente0144,Contrato2930,Outro Crédito,"7,563.60"
Cliente0144,Contrato2968,Outro Crédito,"88,699.16"
Cliente0145,Contrato1621,Outro Crédito,866.84
Cliente0145,Contrato1622,Outro Crédito,633.47
Cliente0146,Contrato1530,Outro Crédito,"5,686.30"
Cliente0146,Contrato1600,Outro Crédito,"36,268.52"
Cliente0147,Contrato1327,Outro Crédito,726.85
Cliente0147,Contrato1328,Outro Crédito,"75,174.93"
Cliente0147,Contrato2022,Outro Crédito,"5,302.83"
Cliente0148,Contrato1487,Outro Crédito,"3,691.10"
Cliente0148,Contrato1495,Outro Crédito,"1,642.42"
Cliente0148,Contrato1496,Outro Crédito,948.05
Cliente0148,Contrato1496,Outro Crédito,948.05
Cliente0148,Contrato1496,Outro Crédito,948.05
Cliente0148,Contrato1497,Outro Crédito,948.05
Cliente0148,Contrato1497,Outro Crédito,948.05
Cliente0148,Contrato1505,Outro Crédito,948.05
Cliente0148,Contrato1505,Outro Crédito,948.05
Cliente0148,Contrato1505,Outro Crédito,948.05
Cliente0148,Contrato1509,Outro Crédito,948.05
Cliente0148,Contrato1511,Outro Crédito,948.05
Cliente0149,Contrato3020,Outro Crédito,"39,769.12"
Cliente0149,Contrato3056,Outro Crédito,"1,586,746.77"
Cliente0150,Contrato1513,Outro Crédito,149.64
Cliente0150,Contrato1514,Outro Crédito,"1,821.04"
Cliente0150,Contrato1515,Outro Crédito,"4,863.28"
Cliente0150,Contrato1516,Outro Crédito,"1,870.49"
Cliente0150,Contrato1520,Outro Crédito,174.70
Cliente0150,Contrato1522,Outro Crédito,"1,821.04"
Cliente0150,Contrato1523,Outro Crédito,"1,821.04"
Cliente0150,Contrato1524,Outro Crédito,"1,821.04"
Cliente0150,Contrato1526,Outro Crédito,"3,990.38"
Cliente0150,Contrato1527,Outro Crédito,"1,821.04"
Cliente0150,Contrato1529,Outro Crédito,"1,821.04"
Cliente0150,Contrato1531,Outro Crédito,174.70
Cliente0150,Contrato1532,Outro Crédito,"1,821.04"
Cliente0150,Contrato1533,Outro Crédito,174.70
Cliente0150,Contrato1534,Outro Crédito,"1,821.04"
Cliente0150,Contrato1536,Outro Crédito,"1,995.19"
Cliente0150,Contrato1537,Outro Crédito,149.64
Cliente0150,Contrato1538,Outro Crédito,"1,870.49"
Cliente0150,Contrato1539,Outro Crédito,149.64
Cliente0150,Contrato1540,Outro Crédito,174.70
Cliente0150,Contrato1541,Outro Crédito,"19,054.08"
Cliente0150,Contrato1542,Outro Crédito,"1,821.04"
Cliente0150,Contrato1543,Outro Crédito,149.64
Cliente0150,Contrato1544,Outro Crédito,149.64
Cliente0150,Contrato1545,Outro Crédito,"1,821.04"
Cliente0150,Contrato1579,Outro Crédito,174.70
Cliente0150,Contrato1587,Outro Crédito,174.70
Cliente0150,Contrato1588,Outro Crédito,"1,821.04"
Cliente0150,Contrato1687,Outro Crédito,"565,730.71"
Cliente0150,Contrato1805,Outro Crédito,"81,238.29"
Cliente0151,Contrato1650,Outro Crédito,"16,460.33"
Cliente0152,Contrato1548,Outro Crédito,"4,278.05"
Cliente0153,Contrato0125,Outro Crédito,91.86
Cliente0153,Contrato1766,Outro Crédito,"8,728.96"
Cliente0154,Contrato1484,Outro Crédito,"4,239.78"
Cliente0154,Contrato1492,Outro Crédito,448.92
Cliente0154,Contrato1498,Outro Crédito,448.92
Cliente0154,Contrato1504,Outro Crédito,"7,481.97"
Cliente0154,Contrato1506,Outro Crédito,448.92
Cliente0154,Contrato1506,Outro Crédito,448.92
Cliente0154,Contrato1507,Outro Crédito,76.28
Cliente0154,Contrato1508,Outro Crédito,448.92
Cliente0154,Contrato1510,Outro Crédito,448.92
Cliente0155,Contrato1390,Outro Crédito,"7,876.90"
Cliente0155,Contrato1391,Outro Crédito,"184,320.07"
Cliente0155,Contrato2028,Outro Crédito,"74,344.00"
Cliente0155,Contrato2029,Outro Crédito,"26,672.00"
Cliente0155,Contrato2694,Outro Crédito,"60,231.41"
Cliente0156,Contrato1325,Outro Crédito,"1,084.28"
Cliente0156,Contrato1326,Outro Crédito,"41,115.26"
Cliente0156,Contrato1942,Outro Crédito,"61,482.47"
Cliente0156,Contrato1966,Outro Crédito,"8,500.00"
Cliente0157,Contrato1919,Outro Crédito,"369,588.05"
Cliente0158,Contrato2882,Outro Crédito,"119,999.17"
Cliente0159,Contrato1382,Outro Crédito,"51,575.40"
Cliente0160,Contrato1472,Outro Crédito,"2,455.69"
Cliente0160,Contrato1623,Outro Crédito,41.85
Cliente0160,Contrato1623,Outro Crédito,41.85
Cliente0160,Contrato1623,Outro Crédito,41.85
Cliente0160,Contrato1624,Outro Crédito,199.52
Cliente0160,Contrato1625,Outro Crédito,502.87
Cliente0160,Contrato1625,Outro Crédito,"1,508.60"
Cliente0160,Contrato1625,Outro Crédito,"4,777.24"
Cliente0160,Contrato1625,Outro Crédito,574.28
Cliente0160,Contrato1626,Outro Crédito,895.34
Cliente0160,Contrato1627,Outro Crédito,374.10
Cliente0160,Contrato1628,Outro Crédito,798.08
Cliente0160,Contrato1629,Outro Crédito,224.46
Cliente0160,Contrato1630,Outro Crédito,809.82
Cliente0160,Contrato1630,Outro Crédito,911.04
Cliente0160,Contrato1631,Outro Crédito,249.40
Cliente0160,Contrato1632,Outro Crédito,448.92
Cliente0160,Contrato1633,Outro Crédito,698.32
Cliente0160,Contrato1633,Outro Crédito,"1,421.57"
Cliente0160,Contrato1634,Outro Crédito,"4,172.44"
Cliente0161,Contrato0081,Outro Crédito,"49,879.70"
Cliente0161,Contrato1685,Outro Crédito,"1,215,847.68"
Cliente0161,Contrato1786,Outro Crédito,"18,250.11"
Cliente0162,Contrato0085,Outro Crédito,87.91
Cliente0162,Contrato1519,Outro Crédito,"28,173.01"
Cliente0162,Contrato1667,Outro Crédito,229.95
Cliente0163,Contrato2579,Outro Crédito,"104,484.95"
Cliente0164,Contrato1395,Outro Crédito,"6,145.64"
Cliente0165,Contrato1335,Outro Crédito,"2,014.93"
Cliente0165,Contrato1336,Outro Crédito,"212,157.67"
Cliente0165,Contrato2031,Outro Crédito,"12,022.78"
Cliente0165,Contrato2033,Outro Crédito,"10,642.11"
Cliente0166,Contrato1408,Outro Crédito,147.32
Cliente0166,Contrato1409,Outro Crédito,"122,433.53"
Cliente0167,Contrato1358,Outro Crédito,246.58
Cliente0167,Contrato2939,Outro Crédito,"1,732.69"
Cliente0167,Contrato2990,Outro Crédito,"3,319.80"
Cliente0167,Contrato3017,Outro Crédito,"6,873.64"
Cliente0168,Contrato1334,Outro Crédito,241.39
Cliente0168,Contrato2839,Outro Crédito,"9,198.02"
Cliente0169,Contrato0159,Outro Crédito,83.83
Cliente0170,Contrato1547,Outro Crédito,"52,673.06"
Cliente0170,Contrato1591,Outro Crédito,"1,097.36"
Cliente0170,Contrato1591,Outro Crédito,"1,945.31"
Cliente0170,Contrato1592,Outro Crédito,"2,693.51"
Cliente0171,Contrato2976,Outro Crédito,"59,275.94"
Cliente0172,Contrato1525,Outro Crédito,"1,945.31"
Cliente0173,Contrato1483,Outro Crédito,"17,457.93"
Cliente0173,Contrato1494,Outro Crédito,"1,241.08"
Cliente0174,Contrato1778,Outro Crédito,"28,052.43"
Cliente0175,Contrato1512,Outro Crédito,"24,234.48"
Cliente0175,Contrato1780,Outro Crédito,"27,387.55"
Cliente0176,Contrato1521,Outro Crédito,"5,387.02"
Cliente0177,Contrato0183,Outro Crédito,475.70
Cliente0177,Contrato2037,Outro Crédito,"2,327.25"
Cliente0177,Contrato2037,Outro Crédito,"2,296.64"
Cliente0177,Contrato2037,Outro Crédito,"2,959.70"
Cliente0177,Contrato2037,Outro Crédito,"2,928.12"
Cliente0177,Contrato2037,Outro Crédito,"2,900.38"
Cliente0177,Contrato2037,Outro Crédito,"2,871.67"
Cliente0177,Contrato2933,Outro Crédito,"16,150.26"
Cliente0178,Contrato3029,Outro Crédito,"813,739.94"
Cliente0179,Contrato1648,Outro Crédito,"13,388.24"
Cliente0180,Contrato1615,Outro Crédito,"8,623.64"
Cliente0181,Contrato1501,Outro Crédito,"34,888.82"
Cliente0182,Contrato1619,Outro Crédito,"1,002.52"
Cliente0183,Contrato1491,Outro Crédito,24.54
Cliente0183,Contrato1649,Outro Crédito,"8,548.10"
Cliente0184,Contrato0242,Outro Crédito,76.80
Cliente0184,Contrato1704,Crédito Habitação,"60,859.01"
Cliente0185,Contrato1795,Outro Crédito,"22,879.62"
Cliente0186,Contrato1601,Outro Crédito,"32,539.25"
Cliente0187,Contrato2081,Crédito Cartões,638.62
Cliente0188,Contrato1418,Outro Crédito,137.37
Cliente0189,Contrato1614,Outro Crédito,"16,689.42"
Cliente0190,Contrato2088,Crédito Cartões,"6,286.86"
Cliente0191,Contrato1338,Outro Crédito,350.28
Cliente0191,Contrato1657,Outro Crédito,"5,958.87"
Cliente0191,Contrato1662,Crédito Habitação,"26,185.29"
Cliente0192,Contrato0180,Outro Crédito,"3,301.66"
Cliente0192,Contrato1977,Crédito Habitação,"15,201.78"
Cliente0193,Contrato0868,Outro Crédito,49.63
Cliente0194,Contrato1416,Outro Crédito,395.78
Cliente0194,Contrato1417,Outro Crédito,"98,796.13"
Cliente0195,Contrato1396,Outro Crédito,7.62
Cliente0195,Contrato2284,Crédito Cartões,"1,021.26"
Cliente0196,Contrato2837,Crédito Habitação,171.20
Cliente0197,Contrato1794,Outro Crédito,"2,334.64"
Cliente0198,Contrato2755,Crédito Habitação,"58,304.16"
Cliente0199,Contrato2080,Crédito Cartões,935.83
Cliente0200,Contrato1331,Outro Crédito,42.49
Cliente0200,Contrato2356,Crédito Cartões,68.88
Cliente0201,Contrato2876,Outro Crédito,"86,319.32"
Cliente0202,Contrato0395,Outro Crédito,424.31
Cliente0203,Contrato0891,Outro Crédito,46.89
Cliente0204,Contrato1392,Outro Crédito,207.41
Cliente0204,Contrato1401,Outro Crédito,211.86
Cliente0205,Contrato0120,Outro Crédito,173.30
Cliente0206,Contrato1788,Outro Crédito,"335,279.82"
Cliente0207,Contrato0188,Outro Crédito,3.49
Cliente0208,Contrato0210,Outro Crédito,308.07
Cliente0209,Contrato0328,Outro Crédito,35.52
Cliente0209,Contrato2956,Crédito Individual,"1,145.96"
Cliente0210,Contrato1773,Outro Crédito,"12,021.03"
Cliente0211,Contrato1695,Outro Crédito,"3,478.29"
Cliente0212,Contrato1892,Crédito Individual,"1,848.54"
Cliente0212,Contrato2128,Crédito Cartões,589.91
Cliente0212,Contrato2869,Outro Crédito,"10,349.56"
Cliente0213,Contrato2065,Crédito Cartões,"5,876.70"
Cliente0214,Contrato0239,Outro Crédito,423.51
Cliente0214,Contrato2135,Crédito Cartões,173.40
